path,category,loc,size_kb,exports,last_commit,author,has_tests,has_todos
"client/src/DevWrapper.tsx",Other,46,1,"DevWrapper",2025-12-04,muski4real,no,no
"client/src/TestComponent.tsx",Other,20,0,"TestComponent",2025-12-04,muski4real,no,no
"client/src/adapters/secure-storage-adapter.ts",Other,382,12,"SecureStorageAdapter, TokenMigrationUtility",2025-12-04,muski4real,no,no
"client/src/components/AppProviders.tsx",Component,469,17,"AppProviders",2025-12-04,muski4real,no,no
"client/src/components/LazyPageWrapper.tsx",Component,17,1,"LazyPageWrapper",2025-12-02,muski4real,no,no
"client/src/components/MigrationManager.tsx",Component,148,5,"MigrationManager",2025-12-04,muski4real,no,no
"client/src/components/OfflineIndicator.tsx",Component,15,0,"OfflineStatus as OfflineIndicator",2025-11-20,muski4real,no,no
"client/src/components/OfflineModal.tsx",Component,9,0,"default",2025-11-20,muski4real,no,no
"client/src/components/ProjectOverview.tsx",Component,110,4,"ProjectOverview",2025-12-04,muski4real,no,no
"client/src/components/Sidebar.tsx",Component,88,4,"Sidebar",2025-12-04,muski4real,no,no
"client/src/components/SystemHealth.tsx",Component,224,7,"SystemHealth",2025-12-04,muski4real,no,no
"client/src/components/admin/admin-dashboard.tsx",Component,443,17,"",2025-12-04,muski4real,no,no
"client/src/components/analysis/comments.tsx",Component,647,25,"Comments",2025-12-04,muski4real,no,no
"client/src/components/analysis/section.tsx",Component,64,2,"SectionProps, AnalysisSection",2025-12-04,muski4real,no,no
"client/src/components/analysis/stats.tsx",Component,93,3,"BillStats",2025-12-04,muski4real,no,no
"client/src/components/analysis/timeline.tsx",Component,52,2,"ActionTimeline",2025-12-04,muski4real,no,no
"client/src/components/analytics/EngagementAnalyticsDashboard.tsx",Component,566,20,"EngagementAnalyticsDashboard",2025-12-04,muski4real,no,no
"client/src/components/analytics/JourneyAnalyticsDashboard.tsx",Component,428,16,"JourneyAnalyticsDashboard",2025-12-04,muski4real,no,no
"client/src/components/analytics/engagement-dashboard.tsx",Component,727,24,"EngagementDashboard",2025-12-04,muski4real,no,no
"client/src/components/analytics/index.ts",Component,32,1,"EngagementDashboard, JourneyAnalyticsDashboard, RealTimeEngagementDashboard, RealTimeEngagementDemo, useRealTimeEngagement, generateMockEngagementData",2025-11-27,muski4real,no,no
"client/src/components/analytics/real-time-engagement-demo.tsx",Component,387,14,"RealTimeEngagementDemo",2025-12-04,muski4real,no,no
"client/src/components/architecture-planning.tsx",Component,190,8,"ArchitecturePlanning",2025-12-04,muski4real,no,no
"client/src/components/asset-loading/AssetLoadingProvider.tsx",Component,47,2,"useAssetLoading, EnhancedAssetLoadingProvider",2025-12-04,muski4real,no,no
"client/src/components/auth/AuthRoutes.tsx",Component,207,5,"AuthRoutes, authRouteConfig, withAuthGuard, withAuth, withRole",2025-12-04,muski4real,no,no
"client/src/components/auth/OAuthLogin.tsx",Component,256,8,"OAuthLogin",2025-12-04,muski4real,no,no
"client/src/components/auth/PasswordStrengthIndicator.tsx",Component,145,4,"PasswordStrengthIndicator",2025-12-04,muski4real,no,no
"client/src/components/auth/SecurityDashboard.tsx",Component,431,16,"SecurityDashboard",2025-12-04,muski4real,no,no
"client/src/components/auth/SessionManager.tsx",Component,192,6,"SessionManager",2025-12-04,muski4real,no,no
"client/src/components/auth/SocialLogin.tsx",Component,208,7,"SocialLogin",2025-12-04,muski4real,no,no
"client/src/components/auth/config/index.ts",Component,11,0,"DEFAULT_AUTH_CONFIG, PASSWORD_STRENGTH_LEVELS, PASSWORD_STRENGTH_LABELS, PASSWORD_STRENGTH_COLORS",2025-11-27,muski4real,no,no
"client/src/components/auth/constants.ts",Component,200,6,"AUTH_MODES, AUTH_FIELD_NAMES, AUTH_VALIDATION_RULES, AUTH_ERROR_MESSAGES, AUTH_SUCCESS_MESSAGES",2025-11-03,muski4real,no,no
"client/src/components/auth/core/index.ts",Component,11,0,"",2025-11-27,muski4real,no,no
"client/src/components/auth/hooks/index.ts",Component,12,0,"useAuthForm, usePasswordStrength, 
  usePasswordVisibility, 
  usePasswordValidation",2025-10-28,muski4real,no,no
"client/src/components/auth/hooks/useAuthForm.ts",Component,354,12,"useAuthForm",2025-12-04,muski4real,no,no
"client/src/components/auth/hooks/useLoginForm.ts",Component,216,6,"LoginFormData, LoginFormActions, LoginFormRecovery, UseLoginFormOptions, UseLoginFormReturn",2025-12-04,muski4real,no,no
"client/src/components/auth/hooks/usePasswordUtils.ts",Component,128,3,"usePasswordStrength, usePasswordVisibility, usePasswordValidation",2025-12-04,muski4real,no,no
"client/src/components/auth/index.ts",Component,48,1,"AuthProvider, AuthGuard, RequireAuth, RequireRole, RequirePermission, RequireAdmin, RequireModerator, RequireExpert, SessionManager, SocialLogin, OAuthCallback",2025-12-04,muski4real,no,no
"client/src/components/auth/recovery.ts",Component,390,10,"RecoveryStrategy, RecoveryAction, RecoveryContext, getRecoveryStrategy, canAutoRecover",2025-11-03,muski4real,yes,no
"client/src/components/auth/types.ts",Component,114,3,"FormData, AuthFormProps, PasswordStrengthIndicatorProps, TwoFactorSetupProps, SocialLoginProps",2025-11-20,muski4real,no,no
"client/src/components/auth/ui/RegisterForm.tsx",Component,339,11,"RegisterForm",2025-12-04,muski4real,no,no
"client/src/components/auth/ui/index.ts",Component,12,0,"LoginForm, RegisterForm, AuthInput, AuthButton, AuthAlert",2025-10-30,muski4real,no,no
"client/src/components/auth/utils/index.ts",Component,8,0,"",2025-10-28,muski4real,no,no
"client/src/components/auth/utils/user-utils.ts",Component,265,8,"formatDisplayName, generateUserInitials, createUserSlug, sanitizeUserInput, validateEmailDomain",2025-11-20,muski4real,no,no
"client/src/components/auth/validation.ts",Component,246,8,"EmailSchema, PasswordSchema, StrongPasswordSchema, NameSchema, LoginSchema",2025-12-04,muski4real,yes,no
"client/src/components/bill-detail/BillAnalysisTab.tsx",Component,236,9,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillCommunityTab.tsx",Component,155,6,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillFullTextTab.tsx",Component,141,5,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillHeader.tsx",Component,225,8,"BillHeader",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillOverviewTab.tsx",Component,236,10,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillRelatedTab.tsx",Component,222,8,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/BillSponsorsTab.tsx",Component,82,3,"",2025-12-04,muski4real,no,no
"client/src/components/bill-detail/QuickActionsBar.tsx",Component,216,7,"QuickActionsBar",2025-12-04,muski4real,no,yes
"client/src/components/bill-detail/TabSkeleton.tsx",Component,70,3,"TabSkeleton",2025-12-04,muski4real,no,no
"client/src/components/bill-tracking/real-time-tracker.tsx",Component,436,15,"RealTimeBillTracker",2025-12-04,muski4real,no,no
"client/src/components/checkpoint-dashboard.tsx",Component,264,9,"CheckpointDashboard",2025-12-04,muski4real,no,no
"client/src/components/community/ActionCenter.tsx",Component,567,22,"ActionCenter",2025-12-04,muski4real,no,yes
"client/src/components/community/CommunityDataIntegration.tsx",Component,443,17,"CommunityDataIntegration",2025-12-04,muski4real,no,no
"client/src/components/community/CommunityHub.tsx",Component,606,20,"CommunityHubComponent as CommunityHub",2025-12-04,muski4real,no,no
"client/src/components/community/ExpertInsights.tsx",Component,466,17,"ExpertInsights",2025-12-04,muski4real,no,yes
"client/src/components/community/index.ts",Component,13,1,"CommunityHub, ActivityFeed, TrendingTopics, ExpertInsights, ActionCenter",2025-11-22,muski4real,no,no
"client/src/components/compatibility/BrowserCompatibilityChecker.tsx",Component,501,18,"",2025-12-04,muski4real,no,no
"client/src/components/compatibility/BrowserCompatibilityReport.tsx",Component,244,9,"",2025-12-04,muski4real,no,no
"client/src/components/compatibility/FeatureFallbacks.tsx",Component,575,16,"useIntersectionObserverFallback, useResizeObserverFallback, LazyImage, ClipboardButton, FullscreenButton",2025-12-04,muski4real,no,no
"client/src/components/conflict-of-interest/index.ts",Component,27,1,"ConflictOfInterestAnalysis, ConflictNetworkVisualization, FinancialExposureTracker, TransparencyScoring, HistoricalPatternAnalysis",2025-11-27,muski4real,no,no
"client/src/components/connection-status.tsx",Component,277,10,"ConnectionStatus",2025-12-04,muski4real,no,no
"client/src/components/coverage/coverage-dashboard.tsx",Component,420,14,"CoverageDashboard",2025-12-04,muski4real,no,no
"client/src/components/dashboard/action-items.tsx",Component,314,11,"ActionItems",2025-12-04,muski4real,no,no
"client/src/components/dashboard/activity-summary.tsx",Component,173,6,"ActivitySummary",2025-12-04,muski4real,no,no
"client/src/components/dashboard/components/DashboardStats.tsx",Component,213,7,"DashboardStats",2025-12-04,muski4real,no,no
"client/src/components/dashboard/components/TimeFilterSelector.tsx",Component,70,2,"TimeFilterSelector",2025-12-04,muski4real,no,no
"client/src/components/dashboard/components/WelcomeMessage.tsx",Component,152,5,"WelcomeMessage",2025-12-04,muski4real,no,no
"client/src/components/dashboard/hooks/index.ts",Component,10,0,"useDashboard, useDashboardActions, useDashboardTopics, useDashboardConfig",2025-10-28,muski4real,no,no
"client/src/components/dashboard/hooks/useDashboard.ts",Component,263,8,"useDashboard",2025-12-04,muski4real,no,yes
"client/src/components/dashboard/hooks/useDashboardActions.ts",Component,183,6,"UseDashboardActionsResult, useDashboardActions",2025-12-04,muski4real,no,yes
"client/src/components/dashboard/hooks/useDashboardConfig.ts",Component,188,6,"UseDashboardConfigResult, useDashboardConfig",2025-12-04,muski4real,no,yes
"client/src/components/dashboard/hooks/useDashboardTopics.ts",Component,215,7,"UseDashboardTopicsResult, useDashboardTopics",2025-12-04,muski4real,no,yes
"client/src/components/dashboard/index.ts",Component,63,1,"ActivitySummary, ActionItems, TrackedTopics, useDashboard,
  useDashboardActions,
  useDashboardTopics,
  useDashboardConfig, validateActionItem,
  validateActivitySummary,
  validateTrackedTopic,
  validateDashboardConfig,
  validateDashboardData,
  safeValidateActionItem,
  safeValidateTrackedTopic,
  safeValidateDashboardConfig",2025-10-28,muski4real,no,no
"client/src/components/dashboard/modals/DashboardPreferencesModal.tsx",Component,354,12,"DashboardPreferencesModal",2025-12-04,muski4real,no,no
"client/src/components/dashboard/modals/DataExportModal.tsx",Component,394,12,"DataExportModal",2025-12-04,muski4real,no,no
"client/src/components/dashboard/recovery.ts",Component,254,7,"RecoveryStrategy, RecoveryContext, getRecoveryStrategy, formatRecoverySuggestions",2025-12-04,muski4real,yes,no
"client/src/components/dashboard/sections/CivicMetricsSection.tsx",Component,319,11,"CivicMetricsSection",2025-12-04,muski4real,no,no
"client/src/components/dashboard/sections/EngagementHistorySection.tsx",Component,296,10,"EngagementHistorySection",2025-12-04,muski4real,no,no
"client/src/components/dashboard/sections/RecommendationsSection.tsx",Component,335,11,"RecommendationsSection",2025-12-04,muski4real,no,no
"client/src/components/dashboard/sections/TrackedBillsSection.tsx",Component,308,10,"TrackedBillsSection",2025-12-04,muski4real,no,no
"client/src/components/dashboard/tracked-topics.tsx",Component,329,12,"TrackedTopics",2025-12-04,muski4real,no,no
"client/src/components/dashboard/utils/dashboard-config-utils.ts",Component,262,8,"createDashboardConfig, mergeDashboardConfigs, getRefreshIntervalOptions, getDashboardSectionOptions, validateConfigurationLimits",2025-12-04,muski4real,no,no
"client/src/components/dashboard/utils/dashboard-formatters.ts",Component,217,6,"formatActivitySummary, formatActionItem, formatTrackedTopic, formatDashboardData",2025-11-27,muski4real,no,no
"client/src/components/dashboard/utils/index.ts",Component,9,0,"formatDashboardData, dashboardConstants, createDashboardConfig",2025-10-28,muski4real,no,no
"client/src/components/database-status.tsx",Component,213,7,"DatabaseStatus, useDatabaseStatus",2025-12-04,muski4real,no,no
"client/src/components/decision-matrix.tsx",Component,200,8,"DecisionMatrix",2025-12-04,muski4real,no,no
"client/src/components/discussion/CommunityReporting.tsx",Component,375,13,"CommunityReporting",2025-12-04,muski4real,no,no
"client/src/components/discussion/DiscussionDemo.tsx",Component,211,8,"DiscussionDemo",2025-12-04,muski4real,no,no
"client/src/components/discussion/index.ts",Component,36,1,"DiscussionThread, CommentItem, CommentForm, CommunityReporting, useDiscussion",2025-11-27,muski4real,no,no
"client/src/components/education/index.ts",Component,12,0,"PlainLanguageSummary, ConstitutionalContext, HistoricalPrecedents, ProcessEducation, EducationalFramework",2025-11-12,muski4real,no,no
"client/src/components/environment-setup.tsx",Component,156,6,"EnvironmentSetup",2025-12-04,muski4real,no,no
"client/src/components/error-boundaries/ErrorBoundaryProvider.tsx",Component,271,9,"ErrorBoundaryProvider",2025-12-04,muski4real,no,no
"client/src/components/error-boundaries/examples/ErrorBoundaryExample.tsx",Component,202,7,"ErrorBoundaryExample",2025-12-04,muski4real,no,no
"client/src/components/error-boundaries/index.ts",Component,20,1,"ErrorBoundary, withErrorBoundary, useErrorHandler, ErrorBoundaryProvider, ErrorSeverity, ErrorDomain",2025-11-27,muski4real,no,no
"client/src/components/error-handling/ErrorFallback.tsx",Component,154,5,"ErrorFallback, NetworkErrorFallback, ApiErrorFallback, ComponentErrorFallback, ChunkErrorFallback",2025-12-04,muski4real,no,no
"client/src/components/error-handling/ErrorRecoveryManager.tsx",Component,71,2,"ErrorRecoveryManagerProps, ErrorRecoveryManager",2025-12-04,muski4real,no,no
"client/src/components/error-handling/ServiceUnavailable.tsx",Component,134,5,"ServiceUnavailable",2025-12-04,muski4real,no,no
"client/src/components/error-handling/UnifiedErrorBoundary.tsx",Component,453,16,"UnifiedErrorBoundaryProps, UnifiedErrorBoundaryState, UnifiedErrorFallbackProps, UnifiedErrorBoundary",2025-12-04,muski4real,no,no
"client/src/components/error-handling/index.ts",Component,114,2,"default as ErrorBoundary, SimpleErrorBoundary, ErrorFallback,
  ApiErrorFallback,
  ComponentErrorFallback,
  ChunkErrorFallback,
  NetworkErrorFallback,
  CriticalErrorFallback, ServiceUnavailable, ErrorRecoveryManager",2025-11-27,muski4real,no,no
"client/src/components/error-handling/utils/contextual-messages.ts",Component,75,3,"getContextualMessage",2025-12-04,muski4real,no,no
"client/src/components/error-handling/utils/error-icons.tsx",Component,43,1,"getErrorIcon",2025-12-04,muski4real,no,no
"client/src/components/error-handling/utils/error-normalizer.ts",Component,105,2,"normalizeError",2025-12-04,muski4real,no,no
"client/src/components/error-handling/utils/error-reporter.ts",Component,104,3,"RecoveryStrategy, ErrorReport, FeedbackSubmission, createErrorReporter",2025-12-04,muski4real,no,no
"client/src/components/examples/SeamlessIntegrationExample.tsx",Component,307,12,"SeamlessIntegrationExample",2025-12-04,muski4real,no,no
"client/src/components/feature-flags-panel.tsx",Component,117,5,"FeatureFlagsPanel",2025-12-04,muski4real,no,no
"client/src/components/implementation/workarounds.tsx",Component,532,19,"ImplementationWorkarounds",2025-12-04,muski4real,no,no
"client/src/components/index.ts",Component,38,2,"default as Sidebar, default as AppProviders, default as ArchitecturePlanning, default as CheckpointDashboard, default as ConnectionStatus",2025-12-04,muski4real,no,no
"client/src/components/layout/SimpleAppLayout.tsx",Component,314,13,"SimpleAppLayout",2025-12-04,muski4real,no,no
"client/src/components/layout/app-layout.tsx",Component,449,14,"",2025-12-04,muski4real,no,no
"client/src/components/layout/mobile-header.tsx",Component,248,8,"MobileHeader",2025-12-04,muski4real,no,no
"client/src/components/layout/sidebar.tsx",Component,256,9,"Sidebar",2025-12-04,muski4real,no,no
"client/src/components/layout/types.ts",Component,199,5,"LayoutConfig, AppLayoutProps, MobileHeaderProps, HeaderAction, MobileNavigationProps",2025-10-30,muski4real,yes,no
